               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 155,            0.017406,           0.0053408,                   0,             0.99747,                   1,               0.995,             0.77847,            0.019537,           0.0036602,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.017072,           0.0049084,                   0,             0.99728,                   1,               0.995,             0.76902,            0.020252,           0.0036955,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.020209,           0.0055232,                   0,             0.99725,                   1,               0.995,             0.77822,            0.021246,           0.0037928,                   0,            0.004852,            0.004852,            0.004852
                 158,              0.0149,           0.0042586,                   0,             0.99718,                   1,               0.995,             0.78036,            0.020611,           0.0037699,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016656,           0.0045734,                   0,             0.99693,                   1,               0.995,              0.7799,            0.019407,           0.0037298,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.017133,           0.0061762,                   0,             0.99662,                   1,               0.995,             0.75765,            0.021266,           0.0037222,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.017518,           0.0043358,                   0,             0.99667,                   1,               0.995,             0.77333,            0.020768,           0.0036745,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.017954,           0.0045091,                   0,             0.99625,                   1,               0.995,             0.73924,            0.021736,           0.0036402,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.017343,           0.0047849,                   0,             0.99656,                   1,               0.995,             0.75089,            0.020456,           0.0036259,                   0,            0.004654,            0.004654,            0.004654
                 164,              0.0185,           0.0056454,                   0,             0.99648,                   1,               0.995,             0.79704,            0.018948,           0.0035667,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.016469,           0.0043284,                   0,             0.99647,                   1,               0.995,              0.7595,              0.0208,           0.0036173,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.016591,           0.0042758,                   0,             0.99665,                   1,               0.995,             0.77363,            0.020027,           0.0035539,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.016467,           0.0036754,                   0,             0.99699,                   1,               0.995,             0.77163,            0.019218,           0.0036077,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016478,           0.0048214,                   0,             0.99702,                   1,               0.995,              0.7604,            0.019614,           0.0035605,                   0,            0.004489,            0.004489,            0.004489
